id_llar,pes_llar,membres_llar,tipus_llar,unitats_consum,renda_total,renda_pobresa,risc_pobresa,carencia_material,regim_tinenca,temperatura_adequada,despeses_habitatge,quota_hipotecaria,retards_hipoteca_lloguer,retards_factures,bo_social,afrontar_imprevistos,arribar_final_mes,any_construccio,millores_energetiques,rao_no_millora,no_temperatura_adequada,te_retards,vulnerabilitat_basica
18412,3,3,11.0,2.0,192659.1,192659.1,No,No,Propietat sense hipoteca,Sí,746.77,,,No,No,Sí,Amb certa facilitat,4.0,5.0,,0.0,0,0
18414,6,2,8.0,1.5,107823.1,107823.1,No,No,Propietat amb hipoteca,Sí,879.63,995.0,No,No,No,Sí,Amb certa facilitat,7.0,5.0,,0.0,0,0
18415,5,3,11.0,1.8,71779.7,71779.7,No,No,Propietat amb hipoteca,No,914.19,1700.0,No,Sí,No,Sí,Amb dificultat,7.0,4.0,2.0,1.0,1,1
18416,5,2,8.0,1.5,34204.7,34204.7,No,No,Propietat sense hipoteca,Sí,265.72,,,No,No,Sí,Amb molta facilitat,3.0,3.0,,0.0,0,0
18417,4,2,7.0,1.5,46396.9,46396.9,No,No,Propietat sense hipoteca,Sí,376.56,,,No,No,Sí,Amb certa facilitat,3.0,4.0,2.0,0.0,0,0
18418,5,4,12.0,2.5,28506.8,28506.8,Sí,No,Propietat amb hipoteca,Sí,667.72,696.0,Sí,Sí,No,Sí,Amb certa facilitat,3.0,1.0,,0.0,1,1
18420,6,2,7.0,1.5,50965.3,50965.3,No,No,Propietat sense hipoteca,Sí,368.22,,,No,No,Sí,Amb certa facilitat,3.0,4.0,2.0,0.0,0,0
18421,5,4,12.0,2.5,73830.7,73830.7,No,No,Propietat sense hipoteca,Sí,457.68,,,No,No,No,Amb certa facilitat,3.0,4.0,2.0,0.0,0,0
18422,6,4,9.0,2.5,91993.07,91993.07,No,No,Propietat sense hipoteca,Sí,328.82,,,No,No,Sí,Amb certa dificultat,3.0,5.0,,0.0,0,0
18423,6,1,6.0,1.0,11088.3,11088.3,Sí,No,Propietat sense hipoteca,No,332.81,,,No,No,No,Amb certa dificultat,3.0,5.0,,1.0,0,1
18424,4,2,7.0,1.5,34089.9,34089.9,No,No,Propietat sense hipoteca,Sí,307.39,,,No,No,No,Amb facilitat,3.0,4.0,2.0,0.0,0,0
18425,4,4,12.0,2.3,41481.0,41481.0,No,No,Propietat amb hipoteca,Sí,895.6,770.0,Sí,No,No,No,Amb dificultat,3.0,4.0,5.0,0.0,1,1
18427,5,1,6.0,1.0,36947.6,36947.6,No,No,Propietat sense hipoteca,Sí,342.39,,,No,No,Sí,Amb facilitat,3.0,4.0,5.0,0.0,0,0
18428,6,2,7.0,1.5,40494.6,40494.6,No,No,Propietat sense hipoteca,Sí,305.06,,,No,No,Sí,Amb molta facilitat,6.0,5.0,,0.0,0,0
18429,6,3,11.0,1.8,44570.0,44570.0,No,No,Propietat amb hipoteca,Sí,549.87,447.0,No,No,No,Sí,Amb certa facilitat,6.0,5.0,,0.0,0,0
18430,5,1,2.0,1.0,27247.6,27247.6,No,No,Propietat sense hipoteca,Sí,238.85,,,Sí,No,Sí,Amb certa facilitat,6.0,5.0,,0.0,1,1
18431,5,1,5.0,1.0,32111.0,32111.0,No,No,Propietat amb hipoteca,Sí,390.72,500.0,No,No,No,Sí,Amb facilitat,5.0,5.0,,0.0,0,0
18435,6,3,11.0,2.0,70825.8,70825.8,No,No,Propietat amb hipoteca,Sí,646.24,758.0,No,No,No,Sí,Amb certa facilitat,7.0,5.0,,0.0,0,0
18436,3,1,5.0,1.0,31816.5,31816.5,No,No,Propietat amb hipoteca,Sí,302.81,450.0,No,No,No,Sí,Amb certa dificultat,7.0,5.0,,0.0,0,0
18437,5,4,12.0,2.3,42341.7,42341.7,No,No,Propietat amb hipoteca,Sí,478.61,610.0,No,No,No,Sí,Amb certa facilitat,3.0,5.0,,0.0,0,0
18438,6,2,10.0,1.5,20914.7,20914.7,No,No,Lloguer a preu de mercat,Sí,929.03,,Sí,Sí,No,No,Amb molta dificultat,3.0,4.0,,0.0,1,1
18439,6,5,14.0,3.0,53920.83,53920.83,No,No,Lloguer a preu de mercat,Sí,581.02,,No,No,Sí,No,Amb certa dificultat,,,,0.0,0,0
18440,6,1,5.0,1.0,21945.3,21945.3,No,No,Propietat sense hipoteca,Sí,235.02,,,No,No,No,Amb certa dificultat,3.0,5.0,,0.0,0,0
18441,6,3,11.0,2.0,38167.1,38167.1,No,No,Propietat sense hipoteca,Sí,350.95,,,No,No,Sí,Amb certa facilitat,2.0,4.0,,0.0,0,0
18442,6,2,7.0,1.5,33732.4,33732.4,No,No,Propietat sense hipoteca,Sí,253.81,,,No,No,Sí,Amb certa dificultat,3.0,5.0,,0.0,0,0
18443,6,1,6.0,1.0,17626.8,17626.8,No,No,Propietat sense hipoteca,Sí,314.47,,,No,No,Sí,Amb certa dificultat,3.0,5.0,,0.0,0,0
18444,5,1,2.0,1.0,26259.2,26259.2,No,No,Lloguer a preu de mercat,Sí,795.64,,No,No,No,Sí,Amb certa dificultat,3.0,4.0,,0.0,0,0
18445,6,3,10.0,2.0,27271.0,27271.0,No,No,Propietat sense hipoteca,Sí,380.14,,,No,No,Sí,Amb certa facilitat,7.0,5.0,,0.0,0,0
18446,5,1,2.0,1.0,20030.5,20030.5,No,No,Propietat sense hipoteca,Sí,189.89,,,No,No,Sí,Amb certa facilitat,6.0,5.0,,0.0,0,0
18447,6,3,11.0,1.8,76766.3,76766.3,No,No,Propietat amb hipoteca,Sí,301.89,565.0,No,No,No,Sí,Amb molta facilitat,5.0,5.0,,0.0,0,0
18448,3,1,5.0,1.0,37628.9,37628.9,No,No,Propietat amb hipoteca,Sí,428.31,350.0,No,No,No,Sí,Amb facilitat,6.0,5.0,,0.0,0,0
18449,4,2,7.0,1.5,53625.1,53625.1,No,No,Propietat sense hipoteca,Sí,385.87,,,No,No,Sí,Amb certa facilitat,4.0,1.0,,0.0,0,0
18450,5,2,8.0,1.5,36624.2,36624.2,No,No,Propietat sense hipoteca,Sí,248.76,,,No,No,Sí,Amb facilitat,4.0,5.0,,0.0,0,0
18451,6,3,11.0,1.8,69580.2,69580.2,No,No,Lloguer a preu de mercat,Sí,979.02,,No,No,No,Sí,Amb certa dificultat,7.0,4.0,,0.0,0,0
18452,4,3,11.0,1.8,46697.4,46697.4,No,No,Lloguer a preu de mercat,Sí,945.97,,No,No,No,Sí,Amb facilitat,6.0,5.0,,0.0,0,0
18453,5,2,8.0,1.5,66089.05,66089.05,No,No,Propietat sense hipoteca,Sí,229.56,,,No,No,Sí,Amb facilitat,4.0,3.0,,0.0,0,0
18454,6,4,12.0,2.5,108933.77,108933.77,No,No,Propietat sense hipoteca,Sí,311.35,,,No,No,Sí,Amb certa facilitat,5.0,4.0,2.0,0.0,0,0
18455,6,1,2.0,1.0,49357.9,49357.9,No,No,Lloguer a preu de mercat,Sí,931.4,,No,No,No,Sí,Amb molta facilitat,5.0,4.0,,0.0,0,0
18456,5,2,7.0,1.5,39268.7,39268.7,No,No,Propietat sense hipoteca,Sí,249.97,,,No,No,Sí,Amb facilitat,3.0,99.0,,0.0,0,0
18457,6,4,14.0,2.5,60428.7,60428.7,No,No,Propietat amb hipoteca,Sí,460.12,580.0,No,No,No,No,Amb dificultat,4.0,4.0,2.0,0.0,0,0
